id,app,value,EG,number,description
1,Floor Exercise,A,1,1,From hdst. lower to L-sit or strad. L-sit (2 s.).
2,Floor Exercise,A,1,7,"From stand, Swiss press to hdst. (2 s.)."
3,Floor Exercise,A,1,13,Rock to hdst. from prone position (2 s.).
4,Floor Exercise,A,1,19,Handstand (2 s.).
5,Floor Exercise,B,1,2,V-sit (2 s.).
6,Floor Exercise,B,1,8,"Piked body, str. arm or str. body, bent arm press to hdst. with legs together (2 s.)."
7,Floor Exercise,B,1,14,"Swiss press from split, L-sit, strad. L-sit or front sup. (2 s.)."
8,Floor Exercise,B,1,20,Press or lower or swing to Japanese hdst. (2 s.).
9,Floor Exercise,C,1,3,V-sit with legs horiz. (2 s.).(Manna)
10,Floor Exercise,C,1,9,V-sit (2 s) and press to hdst. (2 s.
11,Floor Exercise,C,1,21,From split press to Japanese handstand (2 s.).
12,Floor Exercise,D,1,10,Manna (2 s.) and press to hdst. (2 s.)
13,Floor Exercise,D,1,16,"From Manna (2 s.), turn over (dislocation) to handstand (2 s.)."
14,Floor Exercise,A,1,25,"Support lever, legs straddle (2 s.)."
15,Floor Exercise,A,1,31,½ or 1/1 turn in handstand or to handstand.
16,Floor Exercise,A,1,37,"From L-sit, etc., turn over bwd. to stand."
17,Floor Exercise,B,1,26,Support lever (2 s.).
18,Floor Exercise,B,1,32,From straddled support lever (2 s.) press hdst. (2 s.).
19,Floor Exercise,B,1,44,Endo roll to handstand (2 s.).
20,Floor Exercise,C,1,27,Swallow (2 s.).
21,Floor Exercise,C,1,33,From support lever 2 s. press handstand (2 s.).
22,Floor Exercise,C,1,45,Endo roll piked to handstand (2 s.). Also final phase with straddle.
23,Floor Exercise,D,1,34,From Swallow 2 s. press to Japanese hdst. (2 s.).(Alvariño)
24,Floor Exercise,A,1,49,"From stand or rear support, push off 1 foot through hdst. or back walkover."
25,Floor Exercise,A,1,55,Forward walkover.
26,Floor Exercise,A,1,61,Cross or side split (stop required).
27,Floor Exercise,A,1,67,Any standing scale (2 s.).
28,Floor Exercise,B,1,68,Any standing scale with 180hold (2 s.).
29,Floor Exercise,A,1,73,Jump bwd. to front support.
30,Floor Exercise,A,1,79,Butterfly.
31,Floor Exercise,A,1,85,Breakdance variations.
32,Floor Exercise,A,1,91,2 circles or flairs.
33,Floor Exercise,B,1,74,Jump bwd. with pike-stretch or with 1/1 turn to front support.
34,Floor Exercise,B,1,80,Butterfly with 1/1 twist fwd. or bwd.(Tong Fei)
35,Floor Exercise,B,1,92,Circles or flair to handstand.
36,Floor Exercise,C,1,81,Butterfly with 2/1 twist.
37,Floor Exercise,C,1,93,(Gogoladze) Flair or circle to hdst. continue to flair or circle.
38,Floor Exercise,D,1,94,Flair hopping with 360° t. bwd. thr. hdst and back to flair (2 hops).
39,Floor Exercise,A,1,103,Flair with ½ spindle.
40,Floor Exercise,A,1,115,Russian wendeswing with 360° or 540
41,Floor Exercise,B,1,98,Lower from hdst. to flair or circle.
42,Floor Exercise,B,1,104,Flair with 1/1 spindle (in 2 circles).
43,Floor Exercise,B,1,110,Flair with ½ spindle to handstand.
44,Floor Exercise,B,1,116,Russian wendeswing with 720° or 900
45,Floor Exercise,C,1,105,Flair with >270 spindle (in 2 circles) directly to handstand.
46,Floor Exercise,C,1,117,(Fedorchenko)Russian wendeswing with 1080° or more.
47,Floor Exercise,D,1,112,Flair with > 270º spindle (in 2 circles) directly to handstand and continue to circle or flair.
48,Floor Exercise,A,1,121,Roll bwd. through hdst. with ½ t.
49,Floor Exercise,B,1,122,Roll bwd. with hop 1/1 t. through hdst.
50,Floor Exercise,A,2,1,Neck or head spring w. ½ t. to hdst. or 1/1 t. to rear support.
51,Floor Exercise,A,2,7,Forward handspring or flyspring.
52,Floor Exercise,A,2,13,Dive roll.
53,Floor Exercise,A,2,19,Salto fwd. tucked or piked.
54,Floor Exercise,B,2,14,Jump with 1/1 twist to fwd. hdsp.
55,Floor Exercise,B,2,20,Salto fwd. stretched.
56,Floor Exercise,C,2,21,alto fwd. str. to front support.
57,Floor Exercise,D,2,10,Handspring salto fwd. tuck (Marinich style).(Morandi)
58,Floor Exercise,D,2,22,Double salto fwd. tucked.
59,Floor Exercise,E,2,23,Double salto fwd. piked.
60,Floor Exercise,A,2,25,Aerial walkover fwd.
61,Floor Exercise,A,2,31,½Salto tucked and piked ½ t.½
62,Floor Exercise,B,2,32,Salto tucked with 1/1 t.
63,Floor Exercise,B,2,38,Salto fwd. str. with ½ t.
64,Floor Exercise,B,2,44,Salto tucked 3/2 t.
65,Floor Exercise,C,2,39,Salto fwd. str. with 1/1 t.
66,Floor Exercise,C,2,45,Salto fwd. str. with 3/2 t.
67,Floor Exercise,D,2,40,Salto fwd. str. with 2/1 t.
68,Floor Exercise,E,2,29,Double salto fwd. tucked with ½ t.
69,Floor Exercise,E,2,41,Salto fwd. str. with 5/2 t.
70,Floor Exercise,F,2,30,Double salto fwd. piked with ½ t.
71,Floor Exercise,F,2,42,Salto fwd. str. with 3/1 t.(Shirai 2)
72,Floor Exercise,B,2,50,Salto fwd. t. or p. to front support.
73,Floor Exercise,C,2,51,"Salto fwd. t., p or str. with 1/1 t. to front support."
74,Floor Exercise,D,2,58,Jump fwd. with ½ t. to dbl. salto bwd. t. (Deferr)
75,Floor Exercise,F,2,54,Double salto fwd. tucked with 1/1 turn.
76,Floor Exercise,A,3,1,Salto backwards tucked or piked.
77,Floor Exercise,A,3,7,Salto backwards tucked or piked w. ½ t.
78,Floor Exercise,A,3,13,Back handspring
79,Floor Exercise,B,3,2,Salto backwards stretched.
80,Floor Exercise,B,3,8,Salto backwards str. w. ½ t.
81,Floor Exercise,B,3,14,Tempo salto bwd.
82,Floor Exercise,B,3,20,Salto backwards tucked w. 3/2 t. .
83,Floor Exercise,C,3,3,Double salto bwd. tucked.
84,Floor Exercise,C,3,15,Double salto bwd. piked.
85,Floor Exercise,C,3,21,Salto bwd. str. with 3/2 t.
86,Floor Exercise,D,3,4,Double salto bwd. t. or piked with 1/1 t. Also Arabian double t. or p. ½ t.(Tsukahara)
87,Floor Exercise,D,3,10,Arabian double tucked or piked or double salto bwd. t. or p. with ½ t.
88,Floor Exercise,D,3,22,Salto bwd. str. with 5/2 t.
89,Floor Exercise,E,3,5,Double salto bwd. tucked with 2/1 t.
90,Floor Exercise,E,3,11,Double salto bwd. t. with 3/2 t. or Salto bwd. str. 3/2 to fwd. salto tucked
91,Floor Exercise,E,3,23,Salto bwd. str. with 7/2 t.
92,Floor Exercise,G,3,6,Double salto bwd. tucked with 3/1(Ri Jong Song)
93,Floor Exercise,F,3,12,Double salto bwd. tucked with 5/2
94,Floor Exercise,H,3,18,Triple salto bwd. tucked.(Liukin
95,Floor Exercise,A,3,37,Jump bwd. with ½ t. to roll fwd.
96,Floor Exercise,A,3,43,Jump bwd. with ½ t. to handspring forward.
97,Floor Exercise,B,3,26,Salto bwd. str. with 1/1 t.
98,Floor Exercise,B,3,44,Jump bwd. with ½ t. to salto fwd. t. or p. to f. sup.
99,Floor Exercise,C,3,27,Salto bwd. str. with 2/1 t.
100,Floor Exercise,D,3,28,Salto bwd. str. with 3/1 t.
101,Floor Exercise,E,3,7,Double salto straddled with 1/1 t.(Lou Yun)
102,Floor Exercise,F,3,30,Salto bwd. str. with 4/1 t.(Shirai / Nguyen)
103,Floor Exercise,F,3,48,KolyvanovSalto bwd. str. with 2/1 t and salto bwd piked.
104,Floor Exercise,D,3,52,Double salto bwd. stretched.
105,Floor Exercise,E,3,53,Arabian Jump bwd. to dbl. salto fwd. str. or double salto bwd. stretched with ½ t.Tamayo
106,Floor Exercise,E,3,58,Double salto bwd. stretched with 1/1 t. or arabian Jump bwd. to dbl. salto fwd. str. with ½ t.
107,Floor Exercise,F,3,54,Double salto bwd. str. with 3/2 t. or arabian Jump bwd. to dbl. salto fwd. str. with 1/1 t.
108,Floor Exercise,F,3,59,Double salto bwd. str. with 2/1 t.
109,Floor Exercise,G,3,65,Double salto bwd. str. with 5/2 t.
110,Floor Exercise,H,3,71,Double salto bwd. str. with 3/1 t. Shirai 3
111,Pommel Horse,A,1,1,Scissor forward.
112,Pommel Horse,A,1,7,Scissor forward with ½ t.
113,Pommel Horse,A,1,13,Scissor backward.
114,Pommel Horse,A,1,19,Scissor backward with ½ turn.
115,Pommel Horse,B,1,8,Scissor forward with hop swd.
116,Pommel Horse,B,1,14,Double scissor fwd.(¼ t. fwd. a. ¼ t. bwd.).
117,Pommel Horse,C,1,3,Double Scissor Fwd. with Travel Sideways through Handstand.(Stepanyan)
118,Pommel Horse,C,1,9,Scissor fwd. with hop swd. from one end to the other (3/3).
119,Pommel Horse,C,1,15,Double scissor fwd. (¼ t. fwd. a. ¼ t. bwd.) with travel sdw.
120,Pommel Horse,D,1,4,"Scissor fwd. w. ¼ t. through hstd. on 1 p., lower to sup. w. strad. legs on the other arm."
121,Pommel Horse,D,1,16,(Mikulak)
122,Pommel Horse,D,1,22,"Swing bwd. w. ¼ t. through hstd. on 1 p., lower to sup. w. strad. legs on the other arm."
123,Pommel Horse,B,1,26,Scissor bwd.with hop swd.(also with ½ t.).
124,Pommel Horse,B,1,32,Double scissor bwd. (¼ t. fwd. a. ¼ t. bwd).
125,Pommel Horse,B,1,44,Leg cut or undercut bwd. through hdst. and lower to support w. strad. legs.
126,Pommel Horse,C,1,27,Scissor bwd. with hop swd. from one end to the other
127,Pommel Horse,C,1,45,Leg cut or undercut bwd. through hdst. and lower to flair or circle.
128,Pommel Horse,D,1,34,"Scissor fwd. 1/4 t. to hdst., 1/4 t. and straddle down bwd on 1 arm on the other pommel.(Bryan)"
129,Pommel Horse,D,1,40,"Scissor bwd. ¼ t. to hdst., ¼ t. and straddle down bwd on 1 arm on the other pommel."
130,Pommel Horse,A,2,1,Any circle or flair in side support.
131,Pommel Horse,A,2,13,Circles in cross support frontways on end.
132,Pommel Horse,A,2,19,Circles in cross support rearways on end.
133,Pommel Horse,B,2,2,Circle in side support on 1 pommel.
134,Pommel Horse,B,2,8,Circle with support outside pommels or between the pommels.
135,Pommel Horse,B,2,14,Circles in cross support on 1 pommel
136,Pommel Horse,B,2,20,Circles in cross support between the pommels.
137,Pommel Horse,A,2,25,"Circle in side sup., ¼ spindle to cross sup."
138,Pommel Horse,A,2,31,"Cross support on end, circle with ¼ spindle to side support."
139,Pommel Horse,B,2,26,"Side support, ½ spindle."
140,Pommel Horse,B,2,32,"Cross support on end, ½ spindle."
141,Pommel Horse,B,2,38,Flair or circle through hdst. and lower to sup. w. strad. legs.
142,Pommel Horse,C,2,39,Flair or circle through hdst. (with or without ½ t.) and lower to flair or circle.(Tippelt)
143,Pommel Horse,C,2,45,Flair with hop travel bwd. through hdst. and lower to sup. w. straddle legs.
144,Pommel Horse,D,2,28,Any side support 1/1 spindle w. legs straddle inside max. 2 circles.
145,Pommel Horse,D,2,34,"Any cross support 1/1 spindle within max. 2 circles. (also with ?, ½ or 2/3 travel)."
146,Pommel Horse,D,2,46,Flair with hop travel bwd. through hdst. and lower to circles or flairs.
147,Pommel Horse,E,2,29,Any side support 1/1 spindle with hand support to the other side and return (max. 2 flairs or circles).(Eichorn)
148,Pommel Horse,E,2,35,"Cross support, 1/1 spindle with hands between the pommels max. 2 circles. (also with ? travel)."
149,Pommel Horse,E,2,41,1/1 spindle w. legs straddle or together on the pommels inside max. 2 circles. (Berki)
150,Pommel Horse,F,2,30,"Side support, 1/1 spindle with both pommels between the hands (flair or circle)."
151,Pommel Horse,A,2,61,Double rear (kehr).
152,Pommel Horse,B,2,50,Direct Stöckli A (DSA).
153,Pommel Horse,B,2,56,Direct Stöckli B (DSB).
154,Pommel Horse,B,2,62,Kehrswing bwd. hop with ½ t. on the pommels.
155,Pommel Horse,B,2,68,Kehr with 270º t. on 1 p. (Sohn technique) from cross to side support.
156,Pommel Horse,C,2,51,Reverse Stöckli or DSA strad. through hdst. and lower to sup. w. strad. legs or circle.
157,Pommel Horse,C,2,69,Kehr with 270º t. on 1 p. (Sohn technique) from side to cross support.
158,Pommel Horse,E,2,65,Kehr with 1/1 turn on 1 pommel.(Sohn)
159,Pommel Horse,F,2,54,"Reverse Stöckli, DSA or pommel circle strad. through hdst., 3/3 travel (fwd.- bwd), 360º turn to flairs."
160,Pommel Horse,A,2,79,"Wendeswing fwd. w. ½ t. to sup. fw. on the end, from side support using 1 or 2 pommels."
161,Pommel Horse,A,2,91,Schwabenflank.
162,Pommel Horse,B,2,74,Direct Tramlot.
163,Pommel Horse,B,2,80,"Reverse Stöckli, 180° or 270° turn in one circle."
164,Pommel Horse,B,2,86,Double Swiss.
165,Pommel Horse,B,2,92,Czechkehre on the leather or pommels.
166,Pommel Horse,C,2,81,Reverse Stöckli with 270° t. to 1 pommel.
167,Pommel Horse,D,2,88,Czechkehre outside p. (Pinheiro)
168,Pommel Horse,E,2,83,Reverse Stöckli with 360° t. on 1 pommel.(Bezugo)
169,Pommel Horse,A,2,97,Russian wendeswing with 180
170,Pommel Horse,A,2,103,"On the leather, Russian wendeswing with 180°, also with travel."
171,Pommel Horse,B,2,98,Russian wendeswing with 360
172,Pommel Horse,B,2,104,"On the leather , Russian wendeswing with 360° or 540°."
173,Pommel Horse,B,2,110,Russian wendeswing with 180° or 270° on 1 p. or between the pommels.
174,Pommel Horse,C,2,99,Russian wendeswing with 720
175,Pommel Horse,C,2,105,"On the leather, Russian wendeswing with 720° or 900°."
176,Pommel Horse,C,2,111,Russian wendeswing with 360° pommel or between the pommels.
177,Pommel Horse,D,2,100,Russian wendeswing with 1080° or more.
178,Pommel Horse,D,2,106,"On the leather, Russian wendeswing with 1080° or more."
179,Pommel Horse,D,2,112,720° mel or between the pommels.
180,Pommel Horse,E,2,113,1080º Russian wendeswing or more on 1 pommel or between the pommels.
181,Pommel Horse,A,3,1,Circles with travel fwd. in side support (also with ¼ t.).
182,Pommel Horse,A,3,13,Circles with travel bwd. in side support.
183,Pommel Horse,B,3,2,Circles with travel fwd. in side support (3/3).
184,Pommel Horse,B,3,8,Circles with hop travel fwd. in side support.
185,Pommel Horse,B,3,14,Circles with travel bwd. in side support (3/3).
186,Pommel Horse,B,3,20,Circles with travel bwd. with hop.
187,Pommel Horse,C,3,3,"Circles with travel fwd. in side support (3/3), hands between pommels."
188,Pommel Horse,C,3,9,Circles with hop tr. fwd. 2x in side support (3/3).
189,Pommel Horse,C,3,15,"Circles with travel bwd. in side support (3/3), hands between pommels."
190,Pommel Horse,C,3,21,Circles with travel bwd. with hop 2x.
191,Pommel Horse,D,3,4,"From side sup. on 1 end., travel fwd. over both p. to sup. on other end (3/3) in 1 circle."
192,Pommel Horse,D,3,10,"From sup. frontways on one end, travel hop over both p. to sup. frontways on other end."
193,Pommel Horse,D,3,16,"From side sup. on 1 end., travel bwd. over both p. to side sup. on the other end (3/3) in 2 circles w."
194,Pommel Horse,D,3,22,"From side support on one end, travel hop over both p. to sup. frways on other end (1-2 to 4-5)."
195,Pommel Horse,E,3,23,"From side sup. beside the p., travel hop o. 2 p. to sup. fwd on other end (1-1 to 5-5).(Yamawaki)"
196,Pommel Horse,B,3,26,All travels with ½ spindle in cross support (1/3 travel).½
197,Pommel Horse,B,3,32,Travel fwd. or bwd. with ¼ spindle to side support.
198,Pommel Horse,B,3,44,Travel fwd. in cross support (½ or 2/3).
199,Pommel Horse,C,3,27,All travels with ½ spindle in cross support (½ or 2/3 travel).½
200,Pommel Horse,C,3,33,All travels with ½ spindle in side support. ½
201,Pommel Horse,C,3,45,"Travel fwd. in cross support with support on leather, pommel, pommel, leather(3/3) (1-2-4-5)."
202,Pommel Horse,D,3,34,Cross travel fwd. 3/3 with ½ Spindle from one pommel over the other pommel.(Nin Reyes)
203,Pommel Horse,D,3,46,Any other travel fwd. in cross support to other end (3/3).(Magyar)
204,Pommel Horse,E,3,29,From an end side travel with 2x other end.
205,Pommel Horse,E,3,35,Travel 3/3 over both pommels with ½ Spindle.½ pívot.(Nin Reyes 2)
206,Pommel Horse,E,3,41,3/3 cross support travel fwd. with hop. (Driggs)
207,Pommel Horse,E,3,47,3/3 cross support travel fwd. in flairs.
208,Pommel Horse,A,3,55,Travel bwd. in cross sup. from one horse part or pommel to another (?).?
209,Pommel Horse,B,3,56,Travel bwd. in cross support (½ or 2/3).
210,Pommel Horse,C,3,51,"Fr. cr. sup. on end, tr. fwd. in 2 circles to 12nd p., with ¼ turn to side sup. on other end (3/3(Bilozerchev)"
211,Pommel Horse,C,3,57,"Travel bwd. in cross sup with support on leather, pommel, pommel, leather(3/3) (5-4-2-1)."
212,Pommel Horse,C,3,63,"From support on end, kehr fwd. around 1Stöckli around 2nd p. to side sup., p. betw. hands. (Urzica)"
213,Pommel Horse,D,3,52,"st p., to"
214,Pommel Horse,D,3,58,Any other travel bwd. in cross support to other end (3/3).(Sivado)
215,Pommel Horse,D,3,64,"p., rev. (Moguilny)Kehre fwd., rev. Stöckli, kehre fwd."
216,Pommel Horse,D,3,70,"(Belenki)Kehre bwd., kehre fwd., kehre bwd."
217,Pommel Horse,E,3,59,Any other travel bwd. in cross support to other end (3/3) in flairs.
218,Pommel Horse,C,3,75,"From sup. on 1 p., Russian wendeswing fwd. to other end without sup. on or btw. the p. (side to side support, side to cross support, cross to side support)."
219,Pommel Horse,C,3,81,"From side support pommel between hand, rus-sian wendeswing 360º with travel to the other end in side support.(Kroll)"
220,Pommel Horse,D,3,76,"From sup. on end, Russian wendeswing fwd. to other end without sup. on or btw. the p. (side to side support, side to cross, cross to side, cross to cross) with full circle after."
221,Pommel Horse,D,3,82,Any Russian wend. with 360(Tong Fei)(Roth)
222,Pommel Horse,D,3,88,Reverse Stöckli from cross support on one end to the other.
223,Pommel Horse,E,3,83,Any 3/3 travel in Russian type wendeswing with 720(Wu Guonian)
224,Pommel Horse,E,3,89,"On the leather, from cross support, Russian wendeswing with 360° or 540º over both pom-mels. (Vammen)"
225,Pommel Horse,A,4,1,Wende (from circle or flair).
226,Pommel Horse,B,4,2,Chaguinian to wende.
227,Pommel Horse,B,4,8,"On the end, Russian wendeswing with 360°"
228,Pommel Horse,B,4,14,"Fr. s. sup. fw., wendeswing fwd. w. ½ t. to sup. fw. followed by Schwabenflank a. wende off."
229,Pommel Horse,B,4,20,Circle or flair through hdst. (also with ¾ t. with or without travel).
230,Pommel Horse,C,4,9,"On the end, Russian wend. with 720°"
231,Pommel Horse,C,4,15,"DSA, rev. Stöckli or circle on one pommel through hdst."
232,Pommel Horse,C,4,21,Circle or flair with hop travel bwd. thr. hdst.
233,Pommel Horse,D,4,4,"From side sup. on end, circle or flair to hdst. and travel 3/3 with 450° or more turn.(Kolyvanov)"
234,Pommel Horse,D,4,10,"On the end, Russian wendeswing with 1080º or more."
235,Pommel Horse,D,4,16,DSA with hop bwd. through hdst.
236,Pommel Horse,E,4,5,DSA to hdst. 3/3 with 450º or more turn.
237,Rings,A,1,1,Uprise fwd. to support.
238,Rings,A,1,7,"Swing bwd in support, fall to bwd swing in hang."
239,Rings,A,1,13,"From hang, underswing w. shoulders above rings."
240,Rings,B,1,8,#1 and counter salto fwd. to bwd swing in hang. (also from Li Ning).
241,Rings,B,1,20,"From a hang or support, back toss to hang rw. to uprise fwd. to support.(Li Ning)(Li Ning 2)"
242,Rings,A,1,25,"From hang, felge upward to support."
243,Rings,A,1,31,Dislocate bwd. piked or stretched.
244,Rings,A,1,37,Uprise bwd. to support.
245,Rings,A,1,43,Inlocate piked or stretched.
246,Rings,B,1,26,Swing fwd. with straight arms through hdst.
247,Rings,B,1,32,Felge upward to support with straddled legs supported above the rings (2 s.).(Deltchev)
248,Rings,B,1,38,Uprise bwd. or giant swing piked or str. through handstand.
249,Rings,B,1,44,Backward swing to salto fwd. p. to support(Honma)
250,Rings,C,1,27,Tucked double felge bwd. to hang. (Guczoghy)
251,Rings,C,1,45,.Honma stretched.
252,Rings,D,1,28,Piked double felge bwd. to hang.
253,Rings,E,1,29,Stretched double felge bwd. to hang(O’Neill)
254,Rings,A,1,49,Slow inlocate from hang.
255,Rings,A,1,55,Kip to support.
256,Rings,A,1,61,Back kip to support.
257,Rings,A,1,67,Fwd. swing to swing bwd. in hang.
